target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
dgtw,ld2_ols_characteristics_textcore_pca_dgtw_select_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ols_characteristics_textcore_pca_dgtw_select_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_fixed504_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_fixed504_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_select_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_select_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_ridge_characteristics_textcore_pca_dgtw_select_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_fixed504_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_fixed504_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_select_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_select_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_lasso_characteristics_textcore_pca_dgtw_select_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_fixed504_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_fixed504_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_select_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_select_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_enet_characteristics_textcore_pca_dgtw_select_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_fixed504_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_fixed504_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_select_retain,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_select_recent,3034035,3034035,2748978,0,3034035,2748978
dgtw,ld2_group_ridge_characteristics_textcore_pca_dgtw_select_union,3034035,3034035,2748978,0,3034035,2748978
